	800_P1	1100_P1	1700_P1	800_P2	1100_P2	1700_P2	p1_slope	p2_slope	p1_p2_diff	p1_dct_1.5	p2_dct_1.5	p1_p2_dct_1.5_diff	p1_dct_4.5	p2_dct_4.5	p1_p2_dct_4.5_diff	p1_dst	p2_dst	p1_p2_dst_diff	p1_dct_baseline	p2_dct_baseline	p1_dex_1.5	p2_dex_1.5	p1_dex_4.5	p2_dex_4.5	p1_dex_dst	p2_dex_dst
R01	15.5	12.15	7.86	20.21	11.94	6	-0.85	-1.58	0.73	2.86	-6.09	-8.95	1.72	-15.52	-17.24	-6.92	-8.68	1.76	1.65	23.35	34.15	49.65	18.6	26.65	3.68	2.72
R02	19.3	15.15	14.65	22.71	23.19	22.3	-0.52	-0.05	-0.471111111	-3.2	-3.45	-0.25	-5.44	-14.94	-9.5	-9.87	-20.46	10.59	7.33	22.81	31	66.4	18.7	39.95	4.52	3.28
R03	11.65	12.95	5.93	15.24	9.98	8.32	-0.64	-0.77	0.133333333	3.04	-3.43	-6.47	4.88	-15.53	-20.41	-9.96	-5.73	-4.23	1.73	22.43	34.9	49.35	15.95	22.55	2.68	1.72
R04	11.8	9.67	13.85	20.59	10.96	8.93	0.23	-1.3	1.523333333	3.83	-5.22	-9.05	3.7	-13.95	-17.65	-1.52	10.87	-12.39	1.41	20.31	27.25	39.15	13.2	16.5	1.36	4.26
R05	16.3	12.55	11.95	17.6	16.3	11.7	-0.48	-0.66	0.172222222	-2.3	-4.22	-1.92	-0.89	-12.53	-11.64	-2.69	-9.86	7.17	3.92	19.72	27.9	54.15	13.1	29.35	2.49	2.06
R06	18.35	11.15	11.2	19.94	25.22	15.04	-0.79	-0.54	-0.25	0.43	-3.25	-3.68	-4.88	-14.26	-9.38	2.35	-7.45	9.8	8.52	19.93	34.6	43.65	16.35	22.85	1.65	1.02
R07	12.55	12.35	8.87	26.25	16.2	14.2	-0.41	-1.34	0.93	-1.02	-5.76	-4.74	-5.79	-19.08	-13.29	-7.38	-6.08	-1.3	8.18	25.29	40.2	59.6	18.4	24.7	2.5	1.23
R08	16.65	12.55	9.46	22.4	25.1	14.75	-0.8	-0.85	0.05	-3.47	-3.47	0	-7.45	-13.08	-5.63	-3.06	-21.56	18.5	11.1	24.31	33.9	62.55	18.25	39.9	3.3	2.88
R09	13.2	6.99	6.25	26.25	16.75	2.23	-0.77	-2.67	1.9	-0.63	-3.43	-2.8	-5.39	-13.46	-8.07	0.77	-1.6	2.37	7.62	17.2	31.1	51.8	12.6	23.3	1.36	0.61
R10	20.2	15.75	18.6	20.35	12.8	8.64	-0.18	-1.3	1.123333333	-1.85	-9.96	-8.11	-7.65	-22.5	-14.85	-2.25	-6.3	4.05	10.45	32.33	32.75	61.5	14.3	28.25	0.65	1.66
R11	18.2	11	4.51	25.45	15.46	6.85	-1.52	-2.07	0.545555556	-2.85	-7.86	-5.01	-6.5	-19.12	-12.62	-5.42	-10.4	4.98	8.55	28.07	30.8	48.05	14.1	23.3	1.86	2.35
R12	17.75	15.15	14.5	19.19	16.53	11.33	-0.36	-0.87	0.512222222	-0.19	-7.24	-7.05	-2.71	-19.39	-16.68	-9.82	-7.28	-2.54	4.48	26.5	31.25	55.5	12.95	27	1.05	1.43
R13	13.85	12	8.45	15.13	20.17	13.42	-0.6	-0.19	-0.41	-1.18	-5.31	-4.13	-3.22	-16.07	-12.85	-9.42	-18.89	9.47	5.06	22.92	36.65	61.45	21.9	42	4.02	3.45
R14	14.15	9.08	11.85	14.64	11.28	7.77	-0.26	-0.76	0.507777778	-3.42	-5.13	-1.71	-5.41	-13.33	-7.92	-6.97	-8.87	1.9	6.41	19.27	25.65	52.5	12.1	25.8	1.24	1.1
R15	6.83	7.27	5.06	12.35	12.94	5.08	-0.2	-0.81	0.611111111	-0.09	-1.67	-1.58	-2.06	-9.8	-7.74	-4.44	-11.35	6.91	3.84	16.39	31.65	54.3	17.1	28.05	2.17	2.34
R16	16.8	15.95	13.9	9.44	7.6	2.97	-0.32	-0.72	0.4	-1.22	-9.62	-8.4	-3.9	-19.66	-15.76	-11.56	-6.32	-5.24	5.91	29.16	36.9	53.05	15.5	27.9	1.96	1.87
R17	15.8	14.4	10.85	20.01	13.82	9.91	-0.55	-1.12	0.572222222	0.57	-2.16	-2.73	-5.07	-12.54	-7.47	-6.75	-10.61	3.86	7.42	19.91	35.35	53.9	19.65	29.95	3.04	5.53
R18	13.3	9.78	5.22	17.79	10.42	4.4	-0.9	-1.49	0.59	-0.45	-6.14	-5.69	-4.48	-19.16	-14.68	-7.41	-8.06	0.65	6.2	29.52	36.2	54.8	17.45	12.65	3.08	3.66
R19	16.35	10.8	4.17	12.99	14.06	17.62	-1.35	0.51	-1.867777778	-1.6	-7.42	-5.82	-3.54	-17.5	-13.96	-5.01	-6.21	1.2	4.55	22.65	31.65	45.6	14.55	19.2	1.14	1.85
R20	20.45	18.35	14.9	16.9	16.95	10.24	-0.62	-0.74	0.123333333	-1.84	-10.3	-8.46	-4.53	-24.31	-19.78	-16.59	-15.92	-0.67	5.7	31.92	41.65	60.9	20.45	35.2	5.85	4.86
R21	15.3	11.2	11.9	16.58	15.82	10.91	-0.38	-0.63	0.252222222	-1.44	-2.6	-1.16	-2.92	-10.57	-7.65	-3.94	-10.38	6.44	4.12	14.52	26.95	42.05	17.15	19.6	1.98	2.02
R22	17.25	7.57	9.99	11.75	10.9	1.93	-0.81	-1.09	0.284444444	-2.69	-2.7	-0.01	-4.52	-13.38	-8.86	-0.87	10.35	-11.22	5.34	18	29.25	44.05	12.45	26.8	1.49	1.25
R23	11.3	11.25	10.7	13.35	8.61	8.66	-0.07	-0.52	0.454444444	-1.15	0.58	1.73	-2.84	-8.04	-5.2	-8.01	-6.73	-1.28	3.55	14.43	30.25	49.85	13.2	25.2	2	1.46
