ID	group	phase	no.obs	elo	min.total	min.given	min.received	agg.received.total	agg.received.contact	agg.received.nocontact	agg.given.total	agg.given.contact	agg.given.nocontact	raw.groom.rate	raw.aggRec.rate	raw.aggGiven.rate	raw.aggRec.contact.rate	raw.aggRec.nocontact.rate	raw.aggGiven.contact.rate	raw.aggGiven.nocontact.rate	raw.groomRec.rate	raw.groomGiven.rate
48	REg12_SGE1	1	53	1773	174.482	93.178	81.304	0	0	0	60	1	59	6.58422641509434	0	2.26415094339623	0	0	0.0377358490566038	2.22641509433962	3.06807547169811	3.51615094339623
BC	REg12_SGE1	1	53	1029	149.596	45.233	104.363	27	0	27	6	1	5	5.6451320754717	1.0188679245283	0.226415094339623	0	1.0188679245283	0.0377358490566038	0.188679245283019	3.93822641509434	1.70690566037736
EG	REg12_SGE1	1	53	1330	298.813	191.261	107.552	4	1	3	47	2	45	11.2759622641509	0.150943396226415	1.77358490566038	0.0377358490566038	0.113207547169811	0.0754716981132075	1.69811320754717	4.05856603773585	7.21739622641509
PP	REg12_SGE1	1	53	553	64.683	22.401	42.282	65	2	63	2	0	2	2.4408679245283	2.45283018867925	0.0754716981132075	0.0754716981132075	2.37735849056604	0	0.0754716981132075	1.59554716981132	0.845320754716981
PQ	REg12_SGE1	1	53	315	17.478	0.453000000000001	17.025	19	1	18	0	0	0	0.659547169811321	0.716981132075472	0	0.0377358490566038	0.679245283018868	0	0	0.642452830188679	0.0170943396226415
FS	RFs5_SGE1	1	50	1788	172.698	11.517	161.181	0	0	0	25	0	25	6.90792	0	1	0	0	0	1	6.44724	0.46068
IA	RFs5_SGE1	1	50	74	43.99	14.102	29.888	241	3	238	0	0	0	1.7596	9.64	0	0.12	9.52	0	0	1.19552	0.56408
SH	RFs5_SGE1	1	50	629	204.605	173.928	30.677	73	0	73	46	4	42	8.1842	2.92	1.84	0	2.92	0.16	1.68	1.22708	6.95712
UF	RFs5_SGE1	1	50	1441	303.665	156.482	147.183	10	1	9	179	0	179	12.1466	0.4	7.16	0.04	0.36	0	7.16	5.88732	6.25928
VW	RFs5_SGE1	1	50	1018	246.498	129.699	116.799	21	0	21	95	0	95	9.85992	0.84	3.8	0	0.84	0	3.8	4.67196	5.18796
AC	RIb12_SGE1	1	36	1890	35.28	22.369	12.911	0	0	0	55	8	47	1.96	0	3.05555555555556	0	0	0.444444444444444	2.61111111111111	0.717277777777778	1.24272222222222
FQ	RIb12_SGE1	1	36	1076	92.814	58.924	33.89	17	2	15	92	6	86	5.15633333333333	0.944444444444444	5.11111111111111	0.111111111111111	0.833333333333333	0.333333333333333	4.77777777777778	1.88277777777778	3.27355555555556
IB	RIb12_SGE1	1	36	581	112.53	61.896	50.634	90	5	85	18	2	16	6.25166666666667	5	1	0.277777777777778	4.72222222222222	0.111111111111111	0.888888888888889	2.813	3.43866666666667
IE	RIb12_SGE1	1	36	-17	85.868	36.605	49.263	112	6	106	0	0	0	4.77044444444444	6.22222222222222	0	0.333333333333333	5.88888888888889	0	0	2.73683333333333	2.03361111111111
QP	RIb12_SGE1	1	36	1470	129.054	47.979	81.075	6	4	2	60	1	59	7.16966666666667	0.333333333333333	3.33333333333333	0.222222222222222	0.111111111111111	0.0555555555555556	3.27777777777778	4.50416666666667	2.6655
AA	RJj10_SGE1	1	54	599	105.94	49.982	55.958	335	4	331	64	1	63	3.9237037037037	12.4074074074074	2.37037037037037	0.148148148148148	12.2592592592593	0.037037037037037	2.33333333333333	2.07251851851852	1.85118518518519
JJ	RJj10_SGE1	1	54	1824	167.422	33.018	134.404	3	0	3	369	7	362	6.20081481481482	0.111111111111111	13.6666666666667	0	0.111111111111111	0.259259259259259	13.4074074074074	4.97792592592593	1.22288888888889
ON	RJj10_SGE1	1	54	1071	107.433	65.316	42.117	36	3	33	69	4	65	3.979	1.33333333333333	2.55555555555556	0.111111111111111	1.22222222222222	0.148148148148148	2.40740740740741	1.55988888888889	2.41911111111111
S2	RJj10_SGE1	1	54	1474	175.787	131.797	43.99	7	4	3	601	5	596	6.51062962962963	0.259259259259259	22.2592592592593	0.148148148148148	0.111111111111111	0.185185185185185	22.0740740740741	1.62925925925926	4.88137037037037
VE	RJj10_SGE1	1	54	-18	24.864	10.61	14.254	722	6	716	0	0	0	0.920888888888889	26.7407407407407	0	0.222222222222222	26.5185185185185	0	0	0.527925925925926	0.392962962962963
CY	RPm4_SGE1	1	48	560	154.066	90.913	63.153	28	1	27	3	2	1	6.41941666666667	1.16666666666667	0.125	0.0416666666666667	1.125	0.0833333333333333	0.0416666666666667	2.631375	3.78804166666667
PM	RPm4_SGE1	1	48	1743	203.589	28.454	175.135	0	0	0	65	0	65	8.482875	0	2.70833333333333	0	0	0	2.70833333333333	7.29729166666667	1.18558333333333
RR	RPm4_SGE1	1	48	135	131.367	53.126	78.241	62	4	58	4	0	4	5.473625	2.58333333333333	0.166666666666667	0.166666666666667	2.41666666666667	0	0.166666666666667	3.26004166666667	2.21358333333333
UD	RPm4_SGE1	1	48	1012	240.952	134.86	106.092	48	3	45	24	4	20	10.0396666666667	2	1	0.125	1.875	0.166666666666667	0.833333333333333	4.4205	5.61916666666667
VQ	RPm4_SGE1	1	48	1550	330.83	223.049	107.781	4	1	3	46	3	43	13.7845833333333	0.166666666666667	1.91666666666667	0.0416666666666667	0.125	0.125	1.79166666666667	4.490875	9.29370833333333
PJ	RPs7_SGE1	1	55	1859	221.678	133.889	87.789	4	2	2	146	21	125	8.06101818181818	0.145454545454545	5.30909090909091	0.0727272727272727	0.0727272727272727	0.763636363636364	4.54545454545455	3.19232727272727	4.86869090909091
PS	RPs7_SGE1	1	55	1293	200.242	61.186	139.056	21	11	10	104	3	101	7.28152727272727	0.763636363636364	3.78181818181818	0.4	0.363636363636364	0.109090909090909	3.67272727272727	5.05658181818182	2.22494545454545
TF	RPs7_SGE1	1	55	564	242.811	171.337	71.474	66	10	56	57	3	54	8.82949090909091	2.4	2.07272727272727	0.363636363636364	2.03636363636364	0.109090909090909	1.96363636363636	2.59905454545455	6.23043636363636
V2	RPs7_SGE1	1	55	43	94.475	65.981	28.494	250	7	243	0	0	0	3.43545454545455	9.09090909090909	0	0.254545454545455	8.83636363636364	0	0	1.03614545454545	2.39930909090909
ZQ	RPs7_SGE1	1	55	941	226.298	60.359	165.939	25	2	23	59	5	54	8.22901818181818	0.909090909090909	2.14545454545455	0.0727272727272727	0.836363636363636	0.181818181818182	1.96363636363636	6.03414545454545	2.19487272727273
JF	RSi10_SGE1	1	50	1806	295.868	155.471	140.397	1	0	1	79	2	77	11.83472	0.04	3.16	0	0.04	0.08	3.08	5.61588	6.21884
